,Air_temperature_[K],Process_temperature_[K],Rotational_speed_[rpm],Torque_[Nm],Tool_wear_[min],Temp_Delta,Power_[W],Wear_per_Torque,Speed_Torque_Ratio,Type_H,Type_L,Type_M,Machine_failure
1530,298.1,309,1497,40.5,58,10.9,6349.001673,1.432098412,36.96295384,0,1,0,0
1531,298.1,309,1438,41.4,60,10.9,6234.302125,1.449275012,34.73429113,1,0,0,0
1532,298.1,308.9,1417,39.2,65,10.8,5816.805406,1.658162842,36.14794996,0,0,1,0
1533,298,308.9,1339,51.4,68,10.9,7207.295258,1.322956941,26.05057859,0,0,1,0
1534,298,308.8,1757,29.1,71,10.8,5354.184944,2.439861705,60.37798612,0,1,0,0
1535,298,308.8,1581,36.1,73,10.8,5976.785776,2.022160105,43.79500172,0,1,0,0
1536,298.2,308.9,1326,54.4,75,10.7,7553.896704,1.378676217,24.37499552,0,0,1,0
1537,298.4,309.1,1467,39.6,78,10.7,6083.505678,1.969696472,37.04544519,0,0,1,0
1538,298.4,309.1,1798,29.6,81,10.7,5573.269143,2.736485562,60.74322272,0,1,0,0
1539,298.5,309.2,1449,46.4,83,10.7,7040.686128,1.788792718,31.22844155,0,0,1,0
1540,298.4,309.1,1525,39.3,86,10.7,6276.116724,2.188294609,38.80406137,0,0,1,0
1541,298.4,309,2304,15.1,89,10.6,3643.242169,5.894035832,152.5826804,0,1,0,0
1542,298.3,308.9,1379,54.7,91,10.6,7899.147264,1.66361944,25.21023305,0,1,0,0
1543,298.4,308.9,1628,34.9,93,10.5,5949.883271,2.664755683,46.6475511,0,1,0,0
1544,298.4,309,1474,52.7,95,10.6,8134.609634,1.802656204,27.96963416,0,1,0,0
1545,298.4,309,1544,38.8,97,10.6,6273.467314,2.499999356,39.79380418,0,0,1,0
1546,298.4,308.9,1391,48.4,100,10.5,7050.194682,2.066115276,28.73966348,0,1,0,0
1547,298.3,308.9,1348,55.5,102,10.6,7834.50376,1.837837507,24.28828391,0,1,0,0
1548,298.3,308.8,1349,52.1,104,10.5,7360.008077,1.996160845,25.89250943,0,0,1,0
1549,298.4,308.9,1706,29.5,107,10.5,5270.231116,3.627117415,57.83048887,0,1,0,0
1550,298.4,308.9,1638,32.4,109,10.5,5557.603068,3.364196493,50.55553995,0,1,0,0
1551,298.4,308.8,1458,40.1,111,10.4,6122.524259,2.76807911,36.35909318,0,1,0,0
1552,298.5,308.9,1781,27.8,113,10.4,5184.863572,4.064746739,64.06472516,0,1,0,0
1553,298.5,308.8,1332,59.1,115,10.3,8243.664787,1.945854155,22.53806725,0,1,0,0
1554,298.4,308.7,1584,31.7,117,10.3,5258.27212,3.690850571,49.9684385,0,0,1,0
1555,298.4,308.6,1491,42,120,10.2,6557.760505,2.857142177,35.49999155,0,1,0,0
1556,298.4,308.5,1398,47.1,122,10.1,6895.356052,2.590232996,29.68152236,1,0,0,0
1557,298.3,308.4,1585,30.6,127,10.1,5079.012843,4.150325441,51.79736869,0,1,0,0
1558,298.2,308.3,1476,43.5,129,10.1,6723.636597,2.96551656,33.93102668,0,0,1,0
1559,298.2,308.3,1458,41.8,132,10.1,6382.082644,3.157893981,34.88037443,0,1,0,0
1560,298.2,308.4,1510,39.9,134,10.2,6309.260526,3.358395148,37.84460204,0,0,1,0
1561,298.2,308.4,1388,53.8,137,10.2,7819.884882,2.546467928,25.79925171,0,1,0,0
1562,298.2,308.3,2216,16.8,139,10.1,3898.590819,8.273804599,131.9046834,0,1,0,0
1563,298.2,308.3,1402,51,141,10.1,7487.671931,2.76470534,27.49019069,0,1,0,0
1564,298,308.2,2090,19,143,10.2,4158.421476,7.526311828,109.9999421,0,0,1,0
1565,298,308.2,1459,42.1,146,10.2,6432.295766,3.467932668,34.65557372,0,1,0,0
1566,298,308.1,1403,44.8,148,10.1,6582.097376,3.303570691,31.3169573,0,0,1,0
1567,298.1,308.2,1521,39.3,151,10.1,6259.654778,3.842238208,38.70228023,0,1,0,0
1568,298.2,308.2,1407,47.1,153,10,6939.746756,3.248406954,29.87260512,0,1,0,0
1569,298.1,308.2,1654,35.3,155,10.1,6114.188566,4.3909336,46.85551081,0,0,1,0
1570,298.2,308.4,1452,43.5,158,10.2,6614.309173,3.632183073,33.37930267,0,1,0,0
1571,298.3,308.4,1528,37.3,160,10.1,5968.439611,4.289543086,40.96513647,0,1,0,0
1572,298.2,308.3,1230,59.6,162,10.1,7676.795808,2.718120349,20.63758043,0,1,0,0
1573,298.2,308.2,1466,42.4,164,10,6509.212427,3.867923616,34.57546354,0,1,0,0
1574,298.2,308.2,1478,50.1,166,10,7754.267483,3.313372592,29.50099212,0,1,0,0
1575,298.2,308.3,2057,18,168,10.1,3877.353653,9.333328148,114.2777143,0,1,0,0
1576,298.3,308.4,1490,41.7,170,10.1,6506.552545,4.076737631,35.7314063,0,1,0,0
1577,298.3,308.4,1484,43.4,172,10.1,6744.53866,3.963132727,34.19354051,0,1,0,0
1578,298.3,308.4,1593,37,174,10.1,6172.287087,4.702701432,43.05404242,0,1,0,0
1579,298.3,308.3,1444,43.8,176,10,6623.231296,4.018263923,32.968029,0,1,0,0
1580,298.3,308.4,1444,47.5,178,10.1,7182.728004,3.747367632,30.3999936,0,0,1,0
1581,298.2,308.3,1560,33,181,10.1,5390.972994,5.484846823,47.27271295,0,0,1,0
1582,298.1,308.3,1530,42,184,10.2,6729.291464,4.380951338,36.42856276,1,0,0,0
1583,298.2,308.4,1310,61,189,10.2,8368.155632,3.098360148,21.47540632,0,1,0,1
1584,298.2,308.3,1639,33.3,191,10.1,5715.468099,5.735734013,49.21920444,0,0,1,0
1585,298.2,308.3,1400,48.7,194,10.1,7139.792904,3.983572077,28.74742736,0,1,0,0
1586,298.3,308.4,1486,44.2,196,10.1,6878.11918,4.434388137,33.6199019,0,0,1,0
1587,298.2,308.3,1448,43.3,199,10.1,6565.761094,4.595841895,33.44110082,0,0,1,0
1588,298.2,308.3,1688,32,202,10.1,5656.542293,6.312498027,52.74998352,0,1,0,0
1589,298.1,308.3,1453,41.5,204,10.2,6314.548874,4.915661466,35.01203976,0,0,1,0
1590,298.2,308.4,1497,37.7,207,10.2,5910.058348,5.490714724,39.70821228,0,1,0,0
1591,298.2,308.4,1355,49.4,209,10.2,7009.626248,4.230768374,27.42914425,0,1,0,0
1592,298.1,308.4,1592,38.2,211,10.3,6368.469076,5.523558763,41.67538176,0,1,0,0
1593,298,308.3,1544,34.7,213,10.3,5610.549376,6.138326761,44.49566441,0,1,0,0
1594,298,308.2,1373,51.2,215,10.2,7361.547457,4.19921793,26.81640101,0,0,1,0
1595,298,308.2,1365,52.9,218,10.2,7561.656438,4.120982208,25.80339777,0,1,0,1
1596,298,308.1,1877,24.3,0,10.1,4776.383223,0,77.24276657,0,1,0,0
1597,297.9,308.1,1531,40.8,2,10.2,6541.29856,0.049019596,37.52450061,0,1,0,0
1598,297.9,308,1501,36.7,4,10.1,5768.665734,0.108991796,40.89917142,0,1,0,0
1599,297.9,308,1490,46.2,6,10.1,7208.698503,0.129870102,32.25107527,0,1,0,0
1600,297.8,307.8,1543,43.7,8,10,7061.15884,0.18306632,35.30891641,0,0,1,0
1601,297.8,307.8,1597,38.2,11,10,6388.470549,0.28795804,41.80627178,0,1,0,0
1602,297.8,307.9,1600,33.5,13,10.1,5612.978874,0.388059586,47.76117977,1,0,0,0
1603,297.8,307.8,1622,32.1,18,10,5452.359714,0.560747489,50.52957927,0,0,1,0
1604,297.8,307.8,1452,39.8,21,10,6051.71276,0.527638058,36.48240289,0,1,0,0
1605,297.8,307.8,1396,42.5,23,10,6213.023071,0.541176343,32.84705109,0,1,0,0
1606,297.8,307.7,1505,39.7,25,9.9,6256.848289,0.629722763,37.90931035,0,1,0,0
1607,297.8,307.8,1412,48.3,27,10,7141.845411,0.559006095,29.2339484,0,1,0,0
1608,297.8,307.7,1393,38,29,9.9,5543.235518,0.763157694,36.65788509,0,1,0,0
1609,297.7,307.7,1581,34.9,31,10,5778.111456,0.888251894,45.30084662,0,1,0,0
1610,297.8,307.8,1573,37.9,33,10,6243.046225,0.870712171,41.50394683,0,1,0,0
1611,297.8,307.9,1726,27.3,35,10.1,4934.373917,1.282050812,63.22342006,0,0,1,0
1612,297.9,307.9,1540,39.8,38,10,6418.483231,0.954773629,38.69345761,0,0,1,0
1613,297.9,308,1296,62.9,41,10.1,8536.586886,0.651828195,20.60413027,0,1,0,0
1614,297.8,307.9,1802,25.8,43,10.1,4868.588967,1.666666021,69.84493417,0,0,1,0
1615,297.8,307.9,1447,48.6,46,10.1,7364.333003,0.946501863,29.77365643,0,1,0,0
1616,297.8,307.8,1662,30.7,48,10,5343.157953,1.563517406,54.13679018,1,0,0,0
1617,297.8,307.8,1563,34.3,53,10,5614.12032,1.545189054,45.56849983,0,1,0,0
1618,297.9,307.8,1286,59.5,55,9.9,8012.841502,0.924369593,21.61344175,0,1,0,0
1619,297.9,307.7,1590,34.6,57,9.8,5761.052608,1.647398368,45.95374394,0,1,0,0
1620,297.9,307.7,1492,43.7,59,9.8,6827.769922,1.350114108,34.14186862,0,1,0,0
1621,297.7,307.6,1844,21.9,61,9.9,4228.960703,2.785386856,84.20087479,0,1,0,0
1622,297.7,307.6,1538,38.3,63,9.9,6168.559063,1.644908187,40.15664748,1,0,0,0
1623,297.7,307.6,1921,22.9,68,9.9,4606.716275,2.969431018,83.88642625,0,1,0,0
1624,297.8,307.8,1310,57.9,70,10,7942.888706,1.208980793,22.62521198,0,0,1,0
1625,297.9,307.8,1365,46.9,73,9.9,6704.001643,1.556502866,29.10447141,0,1,0,0
1626,297.9,307.8,1303,59.3,75,9.9,8091.475567,1.264755267,21.97301484,0,0,1,0
1627,297.9,307.8,1499,37.5,78,9.9,5886.559235,2.079999445,39.97332267,0,1,0,0
1628,297.9,307.8,1451,38.2,80,9.9,5804.427531,2.094240289,37.98428325,0,1,0,0
1629,297.9,307.9,1336,54.4,82,10,7610.86425,1.507352664,24.55881901,0,0,1,0
1630,297.9,307.9,1412,44.5,85,10,6579.961093,1.91011193,31.73032995,0,1,0,0
1631,298,308,1433,39.2,87,10,5882.485636,2.219387189,36.55611312,0,1,0,0
1632,297.9,307.9,1426,43.6,89,10,6510.804167,2.041283935,32.70641452,0,1,0,0
1633,297.9,307.9,1476,45.2,91,10,6986.399407,2.013273891,32.65486003,0,1,0,0
1634,297.9,307.9,1406,58.5,93,10,8613.304578,1.589743318,24.03418393,1,0,0,0
1635,297.8,307.8,1383,56.5,98,10,8182.749305,1.734512967,24.47787177,0,1,0,0
1636,297.9,307.8,1505,37.3,100,9.9,5878.600533,2.680964429,40.34851465,0,1,0,0
1637,297.9,307.8,1665,33.9,102,9.9,5910.749498,3.00884867,49.11502976,0,1,0,0
1638,297.9,307.8,1397,45,104,9.9,6583.207406,2.311110598,31.04443755,0,1,0,0
1639,297.9,307.8,1450,43.5,106,9.9,6605.198554,2.436781049,33.33332567,0,0,1,0
1640,298,307.8,1567,36.4,109,9.8,5973.089168,2.994504672,43.04943872,0,1,0,0
1641,298,308,1555,37,111,10,6025.051111,2.999999189,42.02701567,0,0,1,0
1642,298,307.8,1588,35.4,114,9.8,5886.841978,3.220338073,44.85874439,1,0,0,0
1643,298,307.8,1453,37.7,119,9.8,5736.349218,3.156497836,38.54110384,0,1,0,0
1644,298,307.8,1622,33.3,121,9.8,5656.186245,3.633632542,48.70869408,0,1,0,0
1645,297.9,307.8,1538,38.5,123,9.9,6200.77086,3.194804365,39.94804157,0,1,0,0
1646,297.9,307.7,1527,42.8,125,9.8,6844.022428,2.920560065,35.67756176,0,0,1,0
1647,297.8,307.8,1761,28.9,128,10,5329.492025,4.429064211,60.93423497,0,1,0,0
1648,297.9,307.8,1373,50.2,130,9.9,7217.767234,2.589640918,27.35059216,0,1,0,0
1649,298,307.9,1482,37.8,132,9.9,5866.358794,3.492062568,39.20633883,1,0,0,0
1650,298,307.9,1417,51,137,9.9,7567.782543,2.686273983,27.78430828,0,0,1,0
1651,298,307.8,1414,51.7,140,9.8,7655.412034,2.707929844,27.35009142,0,1,0,0
1652,297.9,307.8,1635,34,142,9.9,5821.371187,4.17646936,48.08822115,1,0,0,0
1653,298,307.8,1386,57.3,147,9.8,8316.612568,2.565444578,24.18847745,0,1,0,0
1654,298.2,308.1,1379,62.3,149,9.9,8996.652186,2.391652907,22.13482791,0,1,0,0
1655,298.2,308,1577,35.9,151,9.8,5928.635632,4.206126962,43.92756437,0,0,1,0
1656,298.2,308.1,1532,42.5,154,9.9,6818.303256,3.623528559,36.04705034,0,1,0,0
1657,298.1,308,1374,48.8,156,9.9,7021.585244,3.196720656,28.15573194,0,0,1,0
1658,298.1,308,1570,35.3,159,9.9,5803.673548,4.504248016,44.47590808,1,0,0,0
1659,298.1,308,1697,31,164,9.9,5508.992158,5.290320874,54.74191783,0,1,0,0
1660,298.2,308,1499,44.1,166,9.8,6922.59366,3.764171482,33.990922,0,1,0,0
1661,298.2,308,1411,47.2,168,9.8,6974.251915,3.55932128,29.89406146,0,0,1,0
1662,298.2,307.9,1462,45.5,171,9.7,6966.06283,3.758240932,32.13186107,1,0,0,0
1663,298.1,307.9,1759,28.6,176,9.8,5268.178609,6.153844002,61.503475,0,0,1,0
1664,298.2,308,1535,38,179,9.8,6108.303316,4.710525076,40.39472621,0,1,0,0
1665,298.2,307.9,1491,39.7,181,9.7,6198.645049,4.559192806,37.5566656,1,0,0,0
1666,298.2,307.9,1551,36,186,9.7,5847.132247,5.166665231,43.08332137,0,1,0,0
1667,298.2,307.9,1769,27.2,188,9.7,5038.779513,6.911762165,65.0367408,0,1,0,0
1668,298.2,307.9,1551,34.1,190,9.7,5538.5336,5.571845873,45.48385763,0,1,0,0
1669,298.2,307.9,1544,31.4,192,9.7,5076.98128,6.114647734,49.17195886,0,1,0,0
1670,298.2,307.8,1528,31.1,194,9.6,4976.366539,6.237940116,49.131817,0,1,0,0
1671,298.1,307.9,1614,35.8,196,9.8,6050.833115,5.474858806,45.08378629,0,1,0,0
1672,298.1,307.8,1432,49.8,198,9.7,7467.942729,3.975902816,28.75501431,0,1,0,0
1673,298.1,307.8,1384,43.7,200,9.7,6333.534565,4.576657992,31.6704733,0,0,1,0
1674,298.1,307.8,1540,37.8,203,9.7,6095.946385,5.37036895,40.74072996,0,1,0,0
1675,298,307.7,1407,43.9,205,9.7,6468.25653,4.669702809,32.05010659,0,1,0,0
1676,297.9,307.6,1418,43,207,9.7,6385.182349,4.813952369,32.97673652,1,0,0,0
1677,297.9,307.5,1647,30.8,212,9.6,5312.18185,6.883114648,53.47400861,0,0,1,0
1678,298,307.5,1644,32.8,215,9.5,5646.824299,6.55487605,50.12193594,0,1,0,0
1679,298,307.5,1792,27.9,217,9.5,5235.652653,7.77777499,64.22936766,0,1,0,0
1680,297.9,307.4,1610,34.6,219,9.5,5833.518679,6.329477939,46.53177846,0,0,1,0
1681,297.8,307.3,1804,26,222,9.5,4911.775394,8.538458254,69.3845887,0,0,1,0
1682,297.9,307.4,1604,36.1,225,9.5,6063.734588,6.232685254,44.43212066,1,0,0,1
1683,297.9,307.4,1403,52.8,0,9.5,7757.471908,0,26.57196466,0,0,1,0
1684,297.8,307.3,1438,44.5,3,9.5,6701.12185,0.067415715,32.31459948,0,1,0,0
1685,297.9,307.3,1824,26.3,5,9.4,5023.532317,0.190113996,69.3535858,0,1,0,0
1686,297.9,307.3,1663,28.7,7,9.4,4998.074944,0.243902354,57.94423068,1,0,0,0
1687,297.9,307.3,1502,36.7,12,9.4,5772.508949,0.326975388,40.92641937,0,1,0,0
1688,297.9,307.4,1606,35.5,14,9.5,5970.387399,0.394366086,45.23942388,0,1,0,0
1689,297.9,307.5,1561,37.7,16,9.6,6162.726173,0.42440307,41.40582456,0,1,0,0
1690,297.9,307.4,1435,42.9,18,9.5,6446.705205,0.419580322,33.44987565,0,0,1,0
1691,297.9,307.5,1602,38.3,21,9.6,6425.248127,0.548302729,41.82766532,0,1,0,0
1692,298.1,307.6,1764,27.7,23,9.5,5116.90045,0.83032461,63.68228748,0,0,1,0
1693,298,307.5,1683,27.8,26,9.5,4899.565071,0.935251462,60.53954657,1,0,0,0
1694,298,307.5,1618,35.2,31,9.5,5964.167045,0.880681568,45.96589603,0,1,0,0
1695,298,307.6,1509,41.6,33,9.6,6573.719796,0.79326904,36.27402974,0,1,0,0
1696,297.9,307.6,1550,39,35,9.7,6330.309197,0.897435667,39.74357955,0,1,0,0
1697,297.9,307.6,1519,44,37,9.7,6999.049553,0.8409089,34.52271943,0,0,1,0
1698,297.9,307.6,1481,38,40,9.7,5893.418379,1.052631302,38.97367395,0,1,0,0
1699,298.1,307.7,1289,48.3,42,9.6,6519.715818,0.869565037,26.68736508,0,1,0,0
1700,298,307.6,1844,23.8,44,9.6,4595.856837,1.848738719,77.47895904,0,0,1,0
1701,298,307.7,1479,42.5,47,9.7,6582.422007,1.105882093,34.79999181,0,1,0,0
1702,298,307.7,1430,47.3,49,9.7,7083.139517,1.035940584,30.23255175,0,1,0,0
1703,298.1,307.8,1636,36.7,51,9.7,6287.499761,1.389645398,44.57764453,0,0,1,0
1704,298.1,307.8,1503,44.7,54,9.7,7035.5025,1.208053421,33.62415355,0,0,1,0
1705,298.1,307.8,1608,32.6,57,9.7,5489.493339,1.748465721,49.32513824,0,0,1,0
1706,298.2,307.8,1521,42.9,60,9.6,6833.058269,1.398601073,35.45453719,0,1,0,0
1707,298.2,307.8,1439,41.6,62,9.6,6268.775869,1.490384257,34.59133784,0,1,0,0
1708,298.2,307.8,1627,31.5,64,9.6,5366.93981,2.031745387,51.65077725,0,1,0,0
1709,298.2,307.8,1749,26.1,66,9.6,4780.341629,2.528734663,67.01146858,0,1,0,0
1710,298.2,307.8,1530,35.9,68,9.6,5751.941989,1.89414989,42.61837253,0,1,0,0
1711,298.2,307.8,1355,51.3,70,9.6,7279.227258,1.364522151,26.41325021,0,1,0,0
1712,298.3,307.9,1551,33.8,72,9.6,5489.807498,2.130176885,45.88756039,0,1,0,0
1713,298.2,307.8,1515,46.7,74,9.6,7408.975035,1.584582102,32.44110654,0,1,0,0
1714,298.2,307.8,1388,48.6,76,9.6,7064.059577,1.563785686,28.55966491,0,1,0,0
1715,298.2,307.8,1585,34.6,78,9.6,5742.936091,2.254334609,45.80923532,0,1,0,0
1716,298.1,307.7,1523,37.7,80,9.6,6012.704652,2.122015352,40.39786727,0,1,0,0
1717,298.2,307.6,1369,54.5,82,9.4,7813.193289,1.50458688,25.11926145,0,1,0,0
1718,298.2,307.7,1681,31,84,9.5,5457.051159,2.709676545,54.22578896,0,0,1,0
1719,298.2,307.7,1503,38.3,87,9.5,6028.182231,2.271539877,39.2428096,0,1,0,0
1720,298.2,307.7,1459,44.5,89,9.5,6798.982461,1.999999551,32.78650949,0,1,0,0
1721,298.2,307.7,1688,32.4,91,9.5,5727.249071,2.808641108,52.09874935,0,1,0,0
1722,298.2,307.7,1952,21.6,93,9.5,4415.319979,4.305553562,90.37032853,0,0,1,0
1723,298.2,307.8,2029,19.9,96,9.6,4228.280024,4.824118179,101.9597478,0,1,0,0
1724,298.3,307.8,1457,52.5,98,9.5,8010.275868,1.866666311,27.75237567,0,0,1,0
1725,298.3,307.8,1392,50.4,101,9.5,7346.802916,2.003967856,27.61904214,0,0,1,0
1726,298.3,307.8,1906,22.1,104,9.5,4411.068357,4.705880224,86.24430487,0,1,0,0
1727,298.3,307.7,1602,33.4,106,9.4,5603.218993,3.173651744,47.9640575,0,0,1,0
1728,298.3,307.7,1465,49.4,109,9.4,7578.673398,2.206477286,29.65586444,0,1,0,0
1729,298.3,307.7,1439,43.8,111,9.4,6600.29767,2.534245997,32.85387378,0,0,1,0
1730,298.3,307.8,1330,55.4,114,9.5,7715.960997,2.057761361,24.00721588,0,0,1,0
1731,298.3,307.9,1485,42,117,9.6,6531.371127,2.785713622,35.35713444,0,0,1,0
1732,298.4,307.9,1700,28.2,120,9.5,5020.26506,4.25531764,60.28366657,1,0,0,0
1733,298.4,308,1515,42.8,125,9.6,6790.238361,2.920560065,35.39718799,0,1,0,0
1734,298.5,308.1,1501,39.2,127,9.6,6161.626615,3.239795092,38.29080656,0,0,1,0
1735,298.4,308,1380,47.6,130,9.6,6878.831274,2.731091863,28.99159055,0,1,0,0
1736,298.4,307.9,1544,35.9,132,9.5,5804.574138,3.676879199,43.00834457,0,1,0,0
1737,298.4,307.9,1743,27.3,134,9.5,4982.974356,4.90842311,63.84613046,0,1,0,0
1738,298.4,307.9,1948,21.4,136,9.5,4365.473376,6.355137217,91.02799485,1,0,0,0
1739,298.5,307.9,1260,54.2,141,9.4,7151.521517,2.601475535,23.24722818,1,0,0,0
1740,298.5,307.9,1640,33.1,146,9.4,5684.607187,4.4108748,49.54681283,0,0,1,0
1741,298.5,308,1363,49.2,149,9.5,7022.46489,3.028454669,27.7032464,0,0,1,0
1742,298.5,308,1379,49.6,152,9.5,7162.663699,3.064515511,27.80241375,0,1,0,0
1743,298.5,308,1713,25.8,154,9.5,4628.131465,5.968989935,66.3953231,0,0,1,0
1744,298.5,308,1461,51.9,157,9.5,7940.46968,3.025047587,28.15028359,0,0,1,0
1745,298.5,308,1624,29.8,160,9.5,5067.933493,5.369125715,54.49662601,0,1,0,0
1746,298.4,308,1526,41.1,162,9.6,6567.876433,3.94160488,37.12894474,0,1,0,0
1747,298.4,307.9,2381,14.2,164,9.5,3540.595865,11.54928764,167.6759383,0,1,0,0
1748,298.4,307.7,1626,31.1,166,9.3,5295.531409,5.337618863,52.28294139,1,0,0,0
1749,298.3,307.7,1576,33.8,171,9.4,5578.295692,5.059170101,46.62720514,0,1,0,0
1750,298.4,307.8,1617,31.6,173,9.4,5350.886271,5.474681812,51.17086988,0,0,1,0
1751,298.3,307.6,1942,20.6,176,9.3,4189.334748,8.543685173,94.2717989,0,1,0,0
1752,298.2,307.6,1492,37.2,178,9.4,5812.197737,4.78494495,40.1075161,0,1,0,0
1753,298.2,307.5,1470,51.3,180,9.3,7897.021453,3.508771246,28.65496517,0,1,0,0
1754,298,307.4,1463,46.5,182,9.4,7124.032581,3.913977653,31.46235883,0,0,1,0
1755,298,307.3,1424,46.5,185,9.3,6934.123305,3.978493768,30.62364933,0,1,0,0
1756,298.1,307.4,1363,60.1,187,9.3,8578.254876,3.111480348,22.67886478,0,0,1,0
1757,298.1,307.4,1335,56.2,190,9.3,7856.809067,3.380782317,23.75444417,0,0,1,0
1758,298.1,307.4,1608,33.9,193,9.3,5708.399515,5.69321366,47.43361433,0,1,0,0
1759,298,307.4,1606,35.2,195,9.4,5919.933421,5.539771153,45.62498704,1,0,0,0
1760,298.1,307.5,1684,33.1,200,9.4,5837.121038,6.042294247,50.87611756,0,1,0,0
1761,298.1,307.6,1950,20.3,202,9.5,4145.331506,9.950734014,96.05906598,0,1,0,0
1762,298.2,307.6,1460,48.6,204,9.4,7430.494944,4.197530001,30.04114608,1,0,0,0
1763,298.2,307.6,1511,31,209,9.4,4905.17805,6.741933309,48.74191976,0,1,0,1
1764,298.2,307.6,1318,55.7,0,9.4,7687.749495,0,23.66247331,1,0,0,0
1765,298.2,307.6,1368,51.8,5,9.4,7420.693175,0.096525078,26.40926131,0,1,0,0
1766,298.3,307.7,1717,27.1,7,9.4,4872.68351,0.258302488,63.3579102,0,0,1,0
1767,298.3,307.7,1520,41.4,10,9.4,6589.80475,0.241545835,36.71496698,0,0,1,0
1768,298.3,307.8,1485,42,13,9.5,6531.371127,0.309523736,35.35713444,0,0,1,0
1769,298.4,307.9,1981,23.2,16,9.5,4812.836169,0.689654875,85.38789423,0,1,0,0
1770,298.4,307.9,1605,31,18,9.5,5210.331416,0.580644974,51.77417685,1,0,0,0
1771,298.4,307.9,1446,45.3,23,9.5,6859.541895,0.507726157,31.92052275,0,1,0,0
1772,298.4,308,1508,47.9,25,9.6,7564.243016,0.521920559,31.48224812,0,1,0,0
1773,298.5,308,1384,59.5,27,9.5,8623.462395,0.453781436,23.26050029,0,1,0,0
1774,298.5,308,1519,37.3,29,9.5,5933.285189,0.777479684,40.72384967,0,0,1,0
1775,298.5,308,1404,48.1,32,9.5,7071.976391,0.665280527,29.18918312,0,1,0,0
1776,298.5,308.1,1564,31.1,34,9.6,5093.610777,1.093247237,50.2893729,0,1,0,0
1777,298.6,308.2,1555,36.8,36,9.6,5992.483267,0.978260604,42.2554233,1,0,0,0
1778,298.6,308.2,1325,54,41,9.6,7492.698479,0.759259119,24.53703249,0,1,0,0
1779,298.6,308.2,1488,44,43,9.6,6856.211807,0.977272505,33.81817413,0,0,1,0
1780,298.5,308.2,1595,32.3,46,9.7,5395.004704,1.424148166,49.38078967,0,1,0,0
1781,298.5,308.1,1662,28.6,48,9.6,4977.665064,1.678321091,58.11186779,0,1,0,0
1782,298.4,308,1571,37.4,50,9.6,6152.8511,1.336898038,42.00533636,0,1,0,0
1783,298.3,308,1553,41,52,9.7,6667.820968,1.268292374,37.87803954,1,0,0,0
1784,298.3,308,2886,3.8,57,9.7,1148.44061,14.99996053,759.4716856,0,1,0,1
1785,298.2,308,1538,38.2,59,9.8,6152.453165,1.544502213,40.26176956,0,1,0,0
1786,298.4,308.2,1618,33,61,9.8,5591.406605,1.848484288,49.03028817,0,1,0,0
1787,298.4,308.2,1364,45.9,63,9.8,6556.252541,1.372548721,29.71676912,0,1,0,0
1788,298.3,308,1442,47.3,65,9.7,7142.57845,1.374206898,30.48625148,0,1,0,0
1789,298.2,307.9,1313,67.3,67,9.7,9253.550689,0.9955422,19.50965535,0,1,0,1
1790,298.2,307.9,1847,23.6,69,9.7,4564.65035,2.923727575,78.2626787,0,1,0,0
1791,298.1,307.8,1524,40.8,71,9.7,6511.390598,1.740195652,37.35293202,0,1,0,0
1792,298.1,307.7,1445,48,73,9.6,7263.362215,1.520833016,30.10416039,0,0,1,0
1793,298.1,307.8,1761,28.2,76,9.7,5200.403983,2.695034505,62.44678637,0,1,0,0
1794,298.1,307.8,1514,43.5,78,9.7,6896.738352,1.793103036,34.8045897,0,0,1,0
1795,298.1,307.7,1498,38.3,81,9.6,6008.128398,2.114881954,39.11226133,0,0,1,0
1796,298.1,307.6,1542,37.1,84,9.5,5990.828695,2.264150333,41.56333112,1,0,0,0
1797,298,307.6,1508,41.8,89,9.6,6600.946932,2.129186093,36.07654639,0,0,1,0
1798,298,307.5,1431,52.9,92,9.5,7927.274991,1.739130106,27.05103458,0,0,1,0
1799,298,307.5,1427,45.1,95,9.5,6739.522584,2.106429688,31.64079121,0,0,1,0
1800,298,307.5,1524,36.3,98,9.5,5793.222517,2.699723774,41.98345951,0,0,1,0
1801,298,307.5,1427,43.6,101,9.5,6515.369948,2.31651323,32.72935029,0,0,1,0
1802,298.1,307.6,1496,44.1,104,9.5,6908.739236,2.358276109,33.9228948,1,0,0,0
1803,298.1,307.7,1388,40.3,109,9.6,5857.64611,2.704713969,34.4416788,0,1,0,0
1804,298.1,307.7,1495,48.1,111,9.6,7530.345231,2.307691828,31.08107462,0,1,0,0
1805,298.1,307.7,1376,56.2,113,9.6,8098.104327,2.010675799,24.48398141,1,0,0,0
1806,298,307.6,1593,32.2,118,9.6,5371.557951,3.664595135,49.47203433,1,0,0,0
1807,298,307.6,1654,28.9,123,9.6,5005.667127,4.256053891,57.23181411,0,1,0,0
1808,298.1,307.7,2567,12.8,125,9.6,3440.839826,9.765617371,200.5467183,0,1,0,1
1809,298.1,307.7,1767,27,127,9.6,4996.074797,4.703701962,65.44442021,0,1,0,0
1810,298.1,307.6,1364,53.8,129,9.5,7684.670734,2.397769071,25.35315514,0,1,0,0
1811,298.1,307.8,1569,31.2,131,9.7,5126.325228,4.198716603,50.28844542,0,0,1,0
1812,298.2,307.8,1476,36.8,134,9.6,5688.041995,3.641303358,40.10868475,0,1,0,0
